,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
34579,35.0,admin.,single,university.degree,no,yes,no,cellular,may,thu,143.0,1,999.0,1.0,failure,-1.8,92.893,-46.2,1.266,5099.1,no
446,42.0,technician,married,professional.course,no,no,no,telephone,may,tue,1623.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
20173,36.0,admin.,married,university.degree,no,no,no,cellular,aug,mon,610.0,2,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
18171,37.0,admin.,married,high.school,no,yes,yes,telephone,jul,wed,1089.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
30128,31.0,management,single,university.degree,no,yes,no,cellular,apr,thu,211.0,1,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
36765,25.0,admin.,single,unknown,no,no,no,telephone,jun,tue,221.0,7,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.286,5076.2,yes
6835,42.0,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,92.0,5,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
31944,36.0,blue-collar,single,basic.9y,no,no,yes,cellular,may,thu,1516.0,2,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,yes
41174,62.0,retired,married,university.degree,no,yes,no,cellular,nov,thu,208.0,1,1.0,6.0,success,-1.1,94.767,-50.8,1.031,4963.6,yes
38071,70.0,retired,married,basic.4y,no,no,no,cellular,sep,tue,150.0,1,3.0,2.0,success,-3.4,92.379,-29.8,0.77,5017.5,yes
12368,33.0,services,married,high.school,no,yes,no,cellular,jul,fri,548.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,no
5863,24.0,admin.,married,basic.9y,no,yes,no,telephone,may,mon,764.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
30599,53.0,technician,married,professional.course,no,no,no,cellular,may,mon,206.0,3,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
38691,27.0,student,single,university.degree,no,no,yes,cellular,nov,mon,118.0,1,999.0,0.0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
23661,30.0,admin.,single,university.degree,no,yes,yes,telephone,aug,thu,50.0,9,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
36463,33.0,admin.,single,university.degree,no,no,no,cellular,jun,tue,541.0,3,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
27593,56.0,retired,married,basic.4y,no,no,no,cellular,nov,fri,163.0,2,999.0,1.0,failure,-0.1,93.2,-42.0,4.021,5195.8,no
36923,36.0,services,married,university.degree,no,no,yes,cellular,jun,tue,255.0,2,3.0,1.0,success,-2.9,92.963,-40.8,1.206,5076.2,yes
41000,54.0,services,divorced,high.school,no,yes,no,cellular,oct,wed,487.0,3,999.0,2.0,failure,-1.1,94.601,-49.5,1.016,4963.6,yes
12387,40.0,admin.,married,high.school,no,yes,yes,cellular,jul,mon,615.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes
34670,27.0,admin.,single,university.degree,no,yes,no,cellular,may,thu,1543.0,4,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
